﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,"[""diamond"",""red"",""vert"",""up"",[0,-150],[0,150]]",diamond,red,vert,up,"[0,-150]","[0,150]",up,1,2.5323,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,112,0,112,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[106,-106]",up,1,1.2309,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,113,0,113,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[0,-150],[150,0]]",diamond,red,vert,up,"[0,-150]","[150,0]",up,1,1.5356,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,114,0,114,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[-150,0],[106,106]]",circle,green,vert,up,"[-150,0]","[106,106]",up,1,1.418,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,115,0,115,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[0,-150],[150,0]]",diamond,red,vert,up,"[0,-150]","[150,0]",up,1,1.835,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,116,0,116,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,-106],[-150,0]]",diamond,red,hori,left,"[-106,-106]","[-150,0]",left,1,1.4814,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,117,0,117,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,-150],[0,150]]",circle,red,hori,left,"[0,-150]","[0,150]",left,1,1.4092,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,118,0,118,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[106,106]]",diamond,no_dis,vert,up,"[99999,99999]","[106,106]",up,1,1.3491,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,119,0,119,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,-106],[106,106]]",diamond,red,vert,up,"[-106,-106]","[106,106]",up,1,1.3068,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,120,0,120,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[106,106],[0,-150]]",circle,red,vert,up,"[106,106]","[0,-150]",up,1,1.4491,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,121,0,121,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[-106,106],[0,-150]]",diamond,green,hori,left,"[-106,106]","[0,-150]",up,0,1.4168,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,122,0,122,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[0,150]]",diamond,no_dis,hori,left,"[99999,99999]","[0,150]",left,1,2.4643,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,123,0,123,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[106,-106]]",diamond,red,hori,left,"[0,-150]","[106,-106]",left,1,1.7435,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,124,0,124,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[106,-106],[-106,-106]]",diamond,red,hori,left,"[106,-106]","[-106,-106]",left,1,1.7703,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,125,0,125,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[-106,-106],[0,150]]",diamond,green,hori,left,"[-106,-106]","[0,150]",left,1,1.8083,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,126,0,126,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",diamond,no_dis,hori,left,"[99999,99999]","[0,-150]",left,1,1.3867,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,127,0,127,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,,,,,,3,space,12.0481,2,0,2,0,1
,,"[""circle"",""green"",""hori"",""left"",[0,150],[-106,106]]",circle,green,hori,left,"[0,150]","[-106,106]",left,1,1.9404,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,0,0,0,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[106,-106]]",diamond,red,hori,left,"[0,-150]","[106,-106]",left,1,2.0978,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,1,0,1,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-150,0],[0,150]]",diamond,red,hori,left,"[-150,0]","[0,150]",left,1,1.0832,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,2,0,2,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[0,-150],[-106,106]]",circle,red,vert,up,"[0,-150]","[-106,106]",up,1,1.4185,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,3,0,3,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[106,106]]",diamond,no_dis,vert,up,"[99999,99999]","[106,106]",up,1,1.4876,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,4,0,4,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,106]",up,1,1.3322,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,5,0,5,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[-106,106],[-106,-106]]",circle,red,hori,left,"[-106,106]","[-106,-106]",left,1,1.5403,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,6,0,6,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[0,150]]",diamond,no_dis,hori,left,"[99999,99999]","[0,150]",left,1,1.5698,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,7,0,7,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,106]]",circle,no_dis,vert,up,"[99999,99999]","[106,106]",up,1,2.3692,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,8,0,8,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,-106],[0,-150]]",diamond,green,hori,left,"[106,-106]","[0,-150]",left,1,1.6665,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,9,0,9,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[106,-106],[0,-150]]",diamond,green,vert,up,"[106,-106]","[0,-150]",up,1,1.3643,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,10,0,10,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[0,150]]",circle,no_dis,vert,up,"[99999,99999]","[0,150]",up,1,1.986,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,11,0,11,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[-106,106],[0,-150]]",diamond,green,hori,left,"[-106,106]","[0,-150]",left,1,1.026,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,12,0,12,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[106,106]]",diamond,red,hori,left,"[0,-150]","[106,106]",left,1,1.0361,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,13,0,13,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[0,-150],[150,0]]",circle,green,hori,left,"[0,-150]","[150,0]",left,1,1.4907,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,14,0,14,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[106,106],[106,-106]]",circle,green,vert,up,"[106,106]","[106,-106]",up,1,1.2928,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,15,0,15,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,-106],[-106,106]]",diamond,red,vert,up,"[-106,-106]","[-106,106]",up,1,1.7704,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,16,0,16,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[106,-106]]",circle,no_dis,hori,left,"[99999,99999]","[106,-106]",left,1,1.1501,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,17,0,17,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[0,-150],[0,150]]",diamond,red,vert,up,"[0,-150]","[0,150]",up,1,1.4828,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,18,0,18,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[-106,-106]",up,1,1.7,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,19,0,19,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,-106],[150,0]]",diamond,red,vert,up,"[-106,-106]","[150,0]",up,1,1.3021,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,20,0,20,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[106,-106],[-106,-106]]",circle,red,vert,up,"[106,-106]","[-106,-106]",up,1,1.7518,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,21,0,21,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[0,-150],[106,106]]",diamond,green,vert,up,"[0,-150]","[106,106]",up,1,1.7332,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,22,0,22,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[-106,-106],[0,150]]",diamond,green,hori,left,"[-106,-106]","[0,150]",left,1,2.2318,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,23,0,23,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-106,-106]]",circle,no_dis,hori,left,"[99999,99999]","[-106,-106]",left,1,1.9566,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,24,0,24,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[150,0],[106,-106]]",circle,red,hori,left,"[150,0]","[106,-106]",left,1,2.3683,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,25,0,25,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[106,-106]]",diamond,red,hori,left,"[0,-150]","[106,-106]",left,1,2.4183,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,26,0,26,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-150,0],[0,-150]]",circle,red,vert,up,"[-150,0]","[0,-150]",up,1,1.6036,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,27,0,27,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[150,0],[-106,-106]]",circle,green,vert,up,"[150,0]","[-106,-106]",up,1,2.2172,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,28,0,28,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-150,0]]",diamond,no_dis,vert,up,"[99999,99999]","[-150,0]",up,1,1.4345,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,29,0,29,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[0,-150],[150,0]]",diamond,green,vert,up,"[0,-150]","[150,0]",up,1,1.2382,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,30,0,30,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-106,106]]",circle,no_dis,hori,left,"[99999,99999]","[-106,106]",left,1,1.2548,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,31,0,31,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[106,106],[0,-150]]",circle,red,hori,left,"[106,106]","[0,-150]",left,1,1.9765,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,32,0,32,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,-150],[-150,0]]",diamond,green,hori,left,"[0,-150]","[-150,0]",left,1,1.1401,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,33,0,33,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,-106],[-106,106]]",circle,red,vert,up,"[-106,-106]","[-106,106]",up,1,1.5909,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,34,0,34,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[0,-150],[106,106]]",diamond,red,vert,up,"[0,-150]","[106,106]",up,1,1.6809,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,35,0,35,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-106,106],[150,0]]",diamond,green,vert,up,"[-106,106]","[150,0]",up,1,1.1675,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,36,0,36,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[0,-150],[150,0]]",diamond,red,vert,up,"[0,-150]","[150,0]",up,1,1.2994,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,37,0,37,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[0,-150],[0,150]]",circle,green,vert,up,"[0,-150]","[0,150]",up,1,1.6723,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,38,0,38,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,-150],[106,-106]]",circle,red,hori,left,"[0,-150]","[106,-106]",left,1,1.3849,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,39,0,39,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,-150],[106,106]]",diamond,green,hori,left,"[0,-150]","[106,106]",left,1,1.9983,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,40,0,40,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[106,-106],[106,106]]",circle,red,vert,up,"[106,-106]","[106,106]",up,1,2.0843,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,41,0,41,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[0,-150],[150,0]]",circle,red,vert,up,"[0,-150]","[150,0]",up,1,1.5565,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,42,0,42,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,-106]",up,1,1.6986,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,43,0,43,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[0,-150],[-150,0]]",circle,green,hori,left,"[0,-150]","[-150,0]",left,1,1.3152,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,44,0,44,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[-106,-106]]",diamond,no_dis,hori,left,"[99999,99999]","[-106,-106]",left,1,2.0703,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,45,0,45,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-150,0]]",circle,no_dis,hori,left,"[99999,99999]","[-150,0]",left,1,1.5225,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,46,0,46,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[0,-150],[150,0]]",circle,green,hori,left,"[0,-150]","[150,0]",left,1,1.8538,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,47,0,47,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[106,-106]",up,1,1.4324,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,48,0,48,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[150,0],[106,-106]]",circle,green,hori,left,"[150,0]","[106,-106]",left,1,1.9176,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,49,0,49,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[0,150],[0,-150]]",circle,green,hori,left,"[0,150]","[0,-150]",left,1,1.4323,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,50,0,50,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[150,0]]",diamond,red,hori,left,"[0,-150]","[150,0]",left,1,1.2686,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,51,0,51,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-150,0],[150,0]]",circle,green,hori,left,"[-150,0]","[150,0]",left,1,0.8979,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,52,0,52,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[0,-150],[-106,106]]",diamond,green,vert,up,"[0,-150]","[-106,106]",up,1,1.5165,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,53,0,53,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",diamond,no_dis,hori,left,"[99999,99999]","[0,-150]",left,1,2.522,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,54,0,54,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,150],[106,106]]",circle,red,hori,left,"[0,150]","[106,106]",left,1,1.8851,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,55,0,55,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-106,-106]]",circle,no_dis,hori,left,"[99999,99999]","[-106,-106]",left,1,1.8443,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,56,0,56,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[0,-150],[106,-106]]",circle,red,vert,up,"[0,-150]","[106,-106]",left,0,2.3787,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,57,0,57,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[150,0],[-106,106]]",diamond,red,vert,up,"[150,0]","[-106,106]",up,1,1.6347,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,58,0,58,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,-150],[-106,-106]]",circle,red,hori,left,"[0,-150]","[-106,-106]",left,1,1.5268,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,59,0,59,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,-150],[0,150]]",circle,red,hori,left,"[0,-150]","[0,150]",left,1,1.3732,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,60,0,60,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,150],[-106,-106]]",diamond,green,hori,left,"[0,150]","[-106,-106]",left,1,1.5816,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,61,0,61,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[106,-106]]",diamond,no_dis,hori,left,"[99999,99999]","[106,-106]",left,1,1.4143,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,62,0,62,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-150,0],[106,106]]",circle,red,vert,up,"[-150,0]","[106,106]",up,1,2.0667,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,63,0,63,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",circle,no_dis,vert,up,"[99999,99999]","[150,0]",up,1,1.5365,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,64,0,64,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[106,-106],[-106,-106]]",diamond,red,hori,left,"[106,-106]","[-106,-106]",left,1,2.133,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,65,0,65,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[0,150]]",diamond,red,hori,left,"[0,-150]","[0,150]",left,1,1.5422,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,66,0,66,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,-150],[106,-106]]",diamond,green,hori,left,"[0,-150]","[106,-106]",left,1,1.451,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,67,0,67,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-106,-106],[150,0]]",circle,green,hori,left,"[-106,-106]","[150,0]",left,1,1.8158,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,68,0,68,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[-106,106],[106,106]]",circle,green,vert,up,"[-106,106]","[106,106]",up,1,1.2326,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,69,0,69,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,106]]",circle,no_dis,vert,up,"[99999,99999]","[106,106]",up,1,1.4093,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,70,0,70,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[150,0],[-106,-106]]",circle,green,vert,up,"[150,0]","[-106,-106]",up,1,2.0266,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,71,0,71,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",circle,no_dis,hori,left,"[99999,99999]","[0,-150]",left,1,1.3834,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,72,0,72,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,106]]",circle,no_dis,vert,up,"[99999,99999]","[106,106]",up,1,1.2179,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,73,0,73,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,106]]",circle,no_dis,vert,up,"[99999,99999]","[106,106]",up,1,1.2326,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,74,0,74,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",circle,no_dis,vert,up,"[99999,99999]","[150,0]",up,1,1.3282,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,75,0,75,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-150,0],[0,150]]",circle,green,hori,left,"[-150,0]","[0,150]",left,1,1.5839,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,76,0,76,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-106,106],[106,-106]]",diamond,green,vert,up,"[-106,106]","[106,-106]",up,1,1.7036,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,77,0,77,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[150,0],[-150,0]]",circle,green,vert,up,"[150,0]","[-150,0]",up,1,1.2323,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,78,0,78,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[-106,106],[-106,-106]]",circle,red,hori,left,"[-106,106]","[-106,-106]",left,1,1.0003,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,79,0,79,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[106,106],[106,-106]]",diamond,green,vert,up,"[106,106]","[106,-106]",up,1,1.8815,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,80,0,80,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[0,150]]",diamond,no_dis,hori,left,"[99999,99999]","[0,150]",left,1,1.8484,,,,,,001,2025-03-10_16h53.01.025,SL_base_41,2021.2.3,Win32,60.24096386,,,81,0,81,0,1,,,,,,,,
